time,est_amp,est_freq,est_phase
1552945679.901322, 65.574193, 0.039248, 0.009726
1552945679.999432, 153.909069, 0.045180, 0.136302
1552945680.094092, 269.411908, 0.031788, 0.000000
1552945680.146242, 352.638958, 0.027260, 2.504523
1552945680.306883, 436.610335, 0.029605, 3.203027
1552945680.337646, 527.187804, 0.027319, 5.316522
1552945680.479679, 610.624141, 0.029348, 6.196481
1552945680.517488, 692.755999, 0.028141, 8.004751
1552945680.607264, 709.312359, 0.029023, 9.216180
1552945680.696543, 692.229077, 0.029886, 10.443964
1552945680.797278, 575.411298, 0.027985, 12.174544
1552945680.896342, 527.601599, 0.026945, 13.810453
1552945680.958047, 487.692018, 0.023535, 15.558188
1552945681.048406, 517.531887, 0.019176, 17.369030
1552945681.122986, 445.313046, 0.016458, 18.769067
1552945681.209319, 481.484804, 0.013284, 20.346232
1552945681.304371, 461.801817, 0.013258, 21.038244
1552945681.388228, 452.575316, 0.013417, 21.671790
1552945681.552416, 453.477879, 0.014257, 22.209019
1552945681.561427, 459.426160, 0.015227, 22.732447
1552945681.649717, 451.144764, 0.015403, 23.450810
1552945681.753642, 421.119168, 0.015810, 24.167845
1552945681.826897, 422.682237, 0.015661, 24.955533
1552945681.894343, 407.313192, 0.014034, 25.963766
1552945682.006520, 386.073119, 0.012909, 26.782974
1552945682.115994, 342.891499, 0.012038, 27.532205
1552945682.174257, 324.562671, 0.010815, 28.457140
1552945682.266570, 355.355838, 0.008619, 29.510006
1552945682.369864, 331.293811, 0.009923, 29.717870
1552945682.439997, 323.743128, 0.011585, 29.992245
1552945682.533065, 353.090479, 0.012413, 30.458159
1552945682.618274, 365.407870, 0.012946, 30.936528
1552945682.699112, 361.861280, 0.014352, 31.341649
1552945682.771705, 387.556261, 0.016577, 31.734894
1552945682.888003, 398.874303, 0.018038, 32.247503
1552945682.947098, 378.369563, 0.019309, 32.953173
1552945683.025205, 408.632824, 0.020550, 33.742215
1552945683.119365, 444.947160, 0.021665, 34.483773
1552945683.207852, 453.573904, 0.020744, 35.626949
1552945683.279720, 478.104348, 0.019837, 36.771886
1552945683.390929, 510.837636, 0.019485, 37.865727
1552945683.451656, 553.845774, 0.018082, 39.190878
1552945683.545572, 563.439486, 0.019061, 39.977137
1552945683.639216, 571.891405, 0.019475, 40.826791
1552945683.823260, 568.848799, 0.020399, 41.574044
1552945683.887392, 596.026433, 0.020038, 42.637491
1552945683.999054, 670.190616, 0.021158, 43.486355
1552945684.051768, 642.724321, 0.022371, 44.389678
1552945684.138161, 628.919506, 0.023213, 45.367223
1552945684.281103, 602.594218, 0.024058, 46.375868
1552945684.311817, 637.853336, 0.025760, 47.202734
1552945684.392703, 660.412888, 0.026187, 48.372905
1552945684.480760, 687.207239, 0.025543, 49.739353
1552945684.556395, 666.052637, 0.023503, 51.422642
1552945684.636861, 583.622361, 0.023691, 52.571342
1552945684.737089, 570.544905, 0.021554, 54.124859
1552945684.822104, 581.555586, 0.020188, 55.389286
1552945684.905473, 579.374387, 0.019973, 56.465903
1552945684.998292, 547.613946, 0.020515, 57.474232
1552945685.088781, 495.123574, 0.021033, 58.408846
1552945685.192864, 456.140175, 0.021074, 59.448944
1552945685.279993, 445.870132, 0.022282, 60.243099
1552945685.377036, 414.656001, 0.021427, 61.387130
1552945685.446544, 428.209852, 0.021299, 62.506444
1552945685.520371, 426.977731, 0.020323, 63.838931
1552945685.646533, 395.301127, 0.020756, 64.808997
1552945685.725610, 369.102744, 0.020763, 65.838219
1552945685.822261, 362.385192, 0.021432, 66.713885
1552945685.886387, 359.970758, 0.020485, 67.874513
1552945685.982406, 381.487915, 0.020669, 68.870275
1552945686.067481, 369.237806, 0.020617, 70.034415
1552945686.150004, 342.837077, 0.021665, 70.917421
1552945686.228859, 324.955059, 0.021746, 71.997163
1552945686.303778, 325.021368, 0.022583, 72.813355
1552945686.402359, 302.689841, 0.020364, 74.181526
1552945686.471667, 284.068906, 0.019125, 75.385695
1552945686.572250, 359.056680, 0.016810, 76.878195
1552945686.637867, 334.493543, 0.017458, 77.701886
1552945686.815170, 346.900874, 0.018334, 78.515737
1552945686.835213, 332.436000, 0.020422, 78.921978
1552945686.916529, 335.681288, 0.020512, 79.864840
1552945686.996504, 386.163700, 0.021016, 80.788212
1552945687.087657, 420.936465, 0.021271, 81.754123
1552945687.161991, 437.161962, 0.020082, 83.065173
1552945687.232277, 411.021214, 0.019644, 84.137135
1552945687.327853, 386.752845, 0.019095, 85.250468
1552945687.409078, 370.458320, 0.022321, 85.695981
1552945687.485245, 444.865505, 0.023093, 86.746964
1552945687.572300, 465.197819, 0.023746, 87.754137
1552945687.654438, 456.628517, 0.024645, 88.702452
1552945687.745338, 441.277988, 0.024908, 89.853258
1552945687.856315, 452.478040, 0.023352, 91.289173
1552945687.922293, 533.057417, 0.022905, 92.686840
1552945688.000549, 556.611820, 0.023611, 93.705456
1552945688.099157, 560.391126, 0.023790, 94.879870
1552945688.178793, 546.942860, 0.024148, 95.987493
1552945688.275603, 578.331152, 0.024366, 97.107318
1552945688.395477, 641.749891, 0.026052, 98.029078
1552945688.513054, 680.760906, 0.026150, 99.346109
1552945688.575845, 706.691544, 0.026610, 100.606239
1552945688.639476, 751.342934, 0.026159, 101.973907
1552945688.791973, 806.875620, 0.024536, 103.408200
1552945688.816409, 840.246968, 0.022891, 105.008219
1552945688.905572, 944.035500, 0.022979, 106.126706
1552945689.001769, 934.476099, 0.021497, 107.674468
1552945689.071138, 959.041026, 0.020911, 108.862611
1552945689.160568, 897.224378, 0.021195, 109.841053
1552945689.236993, 891.786689, 0.021098, 110.834634
1552945689.317567, 835.715874, 0.018766, 112.109760
1552945689.401408, 720.715287, 0.014869, 113.759325
1552945689.485929, 774.684413, 0.012901, 114.861359
1552945689.561041, 658.583331, 0.012030, 115.699791
1552945689.640051, 608.156669, 0.010713, 116.613838
1552945689.728038, 565.343011, 0.012218, 116.940003
1552945689.823142, 544.347558, 0.013948, 117.233253
1552945689.877830, 512.406369, 0.014271, 117.839270
1552945689.969215, 459.193073, 0.014178, 118.561833
1552945690.078183, 430.379355, 0.015067, 119.202107
1552945690.154839, 423.289508, 0.014472, 120.012351
1552945690.245908, 404.126548, 0.015054, 120.579045
1552945690.319116, 373.105210, 0.015423, 121.277318
1552945690.398116, 327.455031, 0.016623, 121.994749
1552945690.580617, 342.383649, 0.017783, 122.655997
1552945690.596813, 312.087565, 0.020470, 122.933139
1552945690.686838, 300.365593, 0.021504, 123.702420
1552945690.790664, 312.273473, 0.021102, 124.804257
1552945690.872291, 317.225207, 0.021036, 125.894068
1552945690.950659, 312.322708, 0.021197, 126.965586
1552945691.032383, 284.146922, 0.021169, 128.036241
1552945691.129625, 270.618570, 0.021398, 129.069220
1552945691.227587, 262.558912, 0.020587, 130.186603
1552945691.309360, 258.072378, 0.019638, 131.300045
1552945691.388003, 258.000706, 0.019352, 132.398512
1552945691.459605, 245.043897, 0.020347, 133.330884
1552945691.569724, 225.733632, 0.020601, 134.346912
1552945691.632217, 211.218256, 0.021533, 135.211396
1552945691.718836, 203.990647, 0.022550, 135.929235
1552945691.812693, 233.294826, 0.023344, 136.951403
1552945691.913320, 243.192274, 0.023464, 138.084058
1552945691.970810, 250.044285, 0.022380, 139.545112
1552945692.078520, 233.378955, 0.022487, 140.632082
1552945692.202436, 244.062046, 0.021421, 141.873242
1552945692.268104, 259.626370, 0.021040, 143.028374
1552945692.355284, 323.092099, 0.022032, 143.910032
1552945692.450810, 323.999621, 0.021373, 145.219008
1552945692.564546, 322.707959, 0.021682, 146.252974
1552945692.625263, 314.305401, 0.022381, 147.177327
1552945692.727278, 317.899816, 0.022243, 148.210526
1552945692.808380, 325.711082, 0.018983, 149.730517
1552945692.872391, 288.442497, 0.016358, 151.076812
1552945692.969731, 321.261054, 0.013931, 152.393084
1552945693.064809, 317.388449, 0.013820, 153.187215
1552945693.132109, 296.872796, 0.013516, 154.016297
1552945693.223204, 320.982933, 0.017326, 154.025425
1552945693.314693, 333.697269, 0.019790, 154.271693
1552945693.399158, 346.454875, 0.019176, 155.385079
1552945693.467217, 372.596743, 0.018889, 156.322714
1552945693.535245, 396.645040, 0.019492, 157.122254
1552945693.622825, 431.764379, 0.018225, 158.372021
1552945693.722465, 426.371105, 0.019245, 159.183124
1552945693.804833, 436.991955, 0.019527, 160.119004
1552945693.901683, 432.456523, 0.020733, 160.806274
1552945693.979863, 443.804492, 0.020385, 161.880012
1552945694.066802, 547.928786, 0.021465, 162.714845
1552945694.199719, 640.420179, 0.020789, 163.845518
1552945694.226725, 689.346374, 0.020258, 165.058174
1552945694.317819, 745.917529, 0.020873, 165.960290
1552945694.428146, 765.542409, 0.021193, 166.894248
1552945694.468957, 829.913143, 0.019325, 168.304365
1552945694.548527, 878.388150, 0.019527, 169.169011
1552945694.648509, 798.287629, 0.019318, 170.235494
1552945694.728541, 757.318327, 0.021708, 170.942301
1552945694.803119, 696.962599, 0.021759, 172.028080
1552945694.895535, 691.779344, 0.022382, 172.973057
1552945694.990186, 657.976127, 0.023417, 173.762212
1552945695.079760, 738.111855, 0.023454, 174.922108
1552945695.190745, 762.314659, 0.021756, 176.421971
1552945695.262706, 849.044112, 0.020681, 177.809428
1552945695.315566, 861.405710, 0.021079, 178.743344
1552945695.404104, 873.941378, 0.020733, 179.844252
1552945695.489679, 923.316093, 0.019475, 181.066611
1552945695.581255, 931.384897, 0.019502, 182.016670
1552945695.689782, 895.079055, 0.018847, 183.172694
1552945695.758776, 823.159946, 0.019959, 183.974140
1552945695.860063, 764.801703, 0.019378, 185.069644
1552945695.955870, 701.010765, 0.020224, 185.878093
1552945696.038807, 658.240164, 0.020803, 186.729153
1552945696.121850, 627.485964, 0.020461, 187.818912
1552945696.217576, 598.048796, 0.019703, 189.042535
1552945696.310985, 562.749983, 0.020565, 189.886702
1552945696.381950, 494.778352, 0.019767, 191.034561
1552945696.475240, 445.242956, 0.019542, 192.063016
1552945696.572677, 433.192004, 0.019790, 192.961307
1552945696.641399, 407.773803, 0.018105, 194.137659
1552945696.722928, 380.371240, 0.015721, 195.499595
1552945696.803999, 350.787934, 0.015165, 196.351240
1552945696.898084, 296.966702, 0.014817, 197.223453
1552945696.996225, 284.020820, 0.014458, 198.098569
1552945697.073912, 285.711275, 0.015389, 198.632580
1552945697.174140, 273.713572, 0.015447, 199.365823
1552945697.264799, 244.814245, 0.015999, 200.076230
1552945697.333038, 244.513434, 0.015825, 200.887060
1552945697.421722, 232.704765, 0.014600, 201.802735
1552945697.521750, 217.670500, 0.013067, 202.688910
1552945697.606572, 188.810958, 0.012414, 203.458119
1552945697.706075, 186.796517, 0.011302, 204.385667
1552945697.786254, 173.234156, 0.011470, 205.009363
1552945697.952294, 170.411643, 0.014994, 205.009363
1552945697.976100, 165.778982, 0.016486, 205.399102
1552945698.030818, 169.880235, 0.017056, 206.122521
1552945698.151905, 185.696348, 0.017797, 206.785544
1552945698.212952, 184.025216, 0.017441, 207.698418
1552945698.301917, 199.112941, 0.017178, 208.649887
1552945698.394567, 192.898221, 0.017257, 209.512901
1552945698.490340, 191.981308, 0.017252, 210.386339
1552945698.581895, 190.736953, 0.017664, 211.165519
1552945698.657847, 171.233867, 0.021133, 211.502051
1552945698.742463, 220.794818, 0.023144, 212.320351
1552945698.831514, 268.651728, 0.023500, 213.273973
1552945698.904621, 262.751508, 0.023028, 214.451833
1552945698.993001, 274.324460, 0.023119, 215.578898
1552945699.097681, 301.559084, 0.022050, 216.862398
1552945699.180824, 352.213567, 0.018751, 218.684587
1552945699.252236, 392.573114, 0.019782, 219.445264
1552945699.335200, 404.188655, 0.019545, 220.502945
1552945699.424555, 394.120316, 0.020433, 221.351228
1552945699.511561, 422.594866, 0.021101, 222.264830
1552945699.604266, 428.897374, 0.022029, 223.128737
1552945699.686515, 428.928018, 0.023044, 224.032379
1552945699.771483, 455.191736, 0.023057, 225.184764
1552945699.859378, 468.122422, 0.022739, 226.357002
1552945699.951170, 454.123586, 0.021307, 227.695597
1552945700.079166, 417.965574, 0.020577, 228.864044
1552945700.148648, 408.380587, 0.019115, 230.229818
1552945700.218174, 420.910695, 0.018229, 231.311900
1552945700.301285, 390.301912, 0.016732, 232.448463
