time, phase
1552945680.156337, 0
1552945680.248193, 1
1552945680.366302, 2
1552945680.459807, 3
1552945680.555251, 0
1552945680.653851, 1
1552945680.805395, 2
1552945681.031236, 3
1552945681.213984, 0
1552945681.397092, 1
1552945681.569587, 2
1552945681.710644, 3
1552945682.014147, 0
1552945682.304677, 1
1552945682.484404, 2
1552945682.667486, 3
1552945682.778672, 0
1552945682.877955, 1
1552945682.998817, 2
1552945683.146178, 3
1552945683.307685, 0
1552945683.434598, 1
1552945683.574506, 2
1552945683.742667, 3
1552945683.921744, 0
1552945683.997197, 1
1552945684.111562, 2
1552945684.219106, 3
1552945684.322924, 0
1552945684.431088, 1
1552945684.552279, 2
1552945684.682798, 3
1552945684.855212, 0
1552945684.955496, 1
1552945685.081675, 2
1552945685.200785, 3
1552945685.369829, 0
1552945685.479139, 1
1552945685.624343, 2
1552945685.749531, 3
1552945685.917803, 0
1552945686.034119, 1
1552945686.133577, 2
1552945686.234371, 3
1552945686.463388, 0
1552945686.580417, 1
1552945686.695390, 2
1552945686.798501, 3
1552945686.980951, 0
1552945687.096415, 1
1552945687.234422, 2
1552945687.341657, 3
1552945687.427295, 0
1552945687.527318, 1
1552945687.647676, 2
1552945687.806991, 3
1552945687.906392, 0
1552945687.986871, 1
1552945688.117606, 2
1552945688.250930, 3
1552945688.354047, 0
1552945688.441685, 1
1552945688.535883, 2
1552945688.694070, 3
1552945688.830184, 0
1552945688.932105, 1
1552945689.056941, 2
1552945689.228651, 3
1552945689.488699, 0
1552945689.653149, 1
1552945689.836155, 2
1552945689.942674, 3
1552945690.216701, 0
1552945690.321351, 1
1552945690.448223, 2
1552945690.558476, 3
1552945690.771852, 0
1552945690.878895, 1
1552945690.985536, 2
1552945691.112779, 3
1552945691.307052, 0
1552945691.393373, 1
1552945691.499754, 2
1552945691.604473, 3
1552945691.768154, 0
1552945691.857735, 1
1552945691.987318, 2
1552945692.188678, 3
1552945692.288135, 0
1552945692.380425, 1
1552945692.525415, 2
1552945692.632429, 3
1552945692.947273, 0
1552945693.079791, 1
1552945693.207094, 2
1552945693.315946, 3
1552945693.498242, 0
1552945693.625259, 1
1552945693.747235, 2
1552945693.880626, 3
1552945694.018826, 0
1552945694.142024, 1
1552945694.259295, 2
1552945694.377162, 3
1552945694.548020, 0
1552945694.641725, 1
1552945694.732317, 2
1552945694.861651, 3
1552945695.009190, 0
1552945695.116543, 1
1552945695.248306, 2
1552945695.376895, 3
1552945695.549712, 0
1552945695.669745, 1
1552945695.816855, 2
1552945695.970745, 3
1552945696.102467, 0
1552945696.212710, 1
1552945696.363342, 2
1552945696.558118, 3
1552945696.728331, 0
1552945696.917951, 1
1552945697.082003, 2
1552945697.214713, 3
1552945697.535946, 0
1552945697.706998, 1
1552945697.851899, 2
1552945697.995211, 3
1552945698.197895, 0
1552945698.324884, 1
1552945698.498321, 2
1552945698.610087, 3
1552945698.686241, 0
1552945698.802531, 1
1552945698.945692, 2
1552945699.087910, 3
1552945699.217189, 0
1552945699.335850, 1
1552945699.457513, 2
1552945699.593761, 3
1552945699.699503, 0
1552945699.828660, 1
1552945699.997773, 2
1552945700.155134, 3
1552945700.366802, 0
1552945700.485445, 1
1552945700.655221, 2
1552945700.844386, 3
1552945701.048123, 0
1552945701.196750, 1
1552945701.338483, 2
1552945701.508652, 3
1552945701.714565, 0
1552945701.813041, 1
1552945701.940743, 2
1552945702.082890, 3
1552945702.200482, 0
1552945702.298853, 1
1552945702.415593, 2
1552945702.589857, 3
1552945702.689596, 0
1552945702.789290, 1
1552945702.901951, 2
1552945703.042346, 3
1552945703.157418, 0
1552945703.246408, 1
1552945703.352869, 2
1552945703.484697, 3
1552945703.600245, 0
1552945703.702892, 1
1552945703.839853, 2
1552945703.965697, 3
1552945704.145986, 0
1552945704.265624, 1
1552945704.451136, 2
1552945704.605530, 3
1552945704.833097, 0
1552945704.984203, 1
1552945705.141857, 2
1552945705.261335, 3
1552945705.410463, 0
1552945705.518381, 1
1552945705.680069, 2
1552945705.817503, 3
1552945705.960856, 0
1552945706.091159, 1
1552945706.292398, 2
1552945706.391855, 3
1552945706.744010, 0
1552945706.909055, 1
1552945707.214843, 2
1552945707.449792, 3
1552945707.668880, 0
1552945707.972068, 1
1552945708.268392, 2
1552945708.484459, 3
1552945708.691924, 0
1552945708.849301, 1
1552945708.998926, 2
1552945709.156552, 3
1552945709.277411, 0
1552945709.401933, 1
1552945709.517619, 2
1552945709.622016, 3
1552945709.752715, 0
1552945709.854945, 1
1552945709.973372, 2
1552945710.071572, 3
1552945710.171862, 0
1552945710.267535, 1
1552945710.375450, 2
1552945710.511186, 3
1552945710.616882, 0
1552945710.712966, 1
1552945710.816907, 2
1552945710.943411, 3
1552945711.058147, 0
1552945711.157569, 1
