time,phase_from_reg,phase_for_plbck,plbck_pos
1552484332.509017, 63.186385, 60.044792, 60.044792
1552484332.594704, 63.508927, 60.367334, 60.367334
1552484332.870048, 64.209633, 61.068041, 61.068041
1552484332.887123, 64.872055, 61.730463, 61.730463
1552484332.948218, 65.438140, 62.296547, 62.296547
1552484332.973712, 66.060643, 62.919050, 62.919050
1552484333.062815, 66.712165, 63.570572, 63.570572
1552484333.138242, 66.949356, 63.807763, 63.807763
1552484333.339942, 67.094262, 63.952670, 63.952670
1552484333.360324, 67.769560, 64.627967, 64.627967
1552484333.442111, 68.286428, 65.144836, 65.144836
1552484333.529626, 68.774590, 65.632998, 65.632998
1552484333.599026, 69.415419, 66.273827, 66.273827
1552484333.692023, 70.118493, 66.976900, 66.976900
1552484333.785648, 70.784068, 67.642475, 67.642475
1552484333.885049, 71.258999, 68.117407, 68.117407
1552484333.951556, 71.711209, 68.569616, 68.569616
1552484334.040348, 72.237176, 69.095584, 69.095584
1552484334.124600, 72.882168, 69.740575, 69.740575
1552484334.200726, 73.140917, 69.999325, 69.999325
1552484334.293062, 73.866705, 70.725112, 70.725112
1552484334.350973, 74.402351, 71.260759, 71.260759
1552484334.450106, 74.878640, 71.737047, 71.737047
1552484334.531831, 75.331090, 72.189497, 72.189497
1552484334.627670, 75.855496, 72.713903, 72.713903
1552484334.713215, 76.270644, 73.129051, 73.129051
1552484334.821463, 76.270644, 73.129051, 73.129051
1552484334.940676, 76.833559, 73.691967, 73.691967
1552484335.042893, 77.457984, 74.316392, 74.316392
1552484335.114615, 77.941179, 74.799586, 74.799586
1552484335.207578, 78.455980, 75.314387, 75.314387
1552484335.339341, 78.920279, 75.778686, 75.778686
1552484335.373622, 79.235643, 76.094050, 76.094050
1552484335.484167, 79.994971, 76.853378, 76.853378
1552484335.532747, 80.580148, 77.438555, 77.438555
1552484335.629761, 81.112107, 77.970514, 77.970514
1552484335.733053, 81.826403, 78.684810, 78.684810
1552484335.814227, 82.542486, 79.400893, 79.400893
1552484335.908116, 82.977274, 79.835682, 79.835682
1552484335.988651, 83.656466, 80.514873, 80.514873
