beat,m_ioi,e_ioi,b_ioi,p_ioi
1,0.4992239475250244,0.5731849670410156,0.41962599754333496,0.2915949821472168
2,0.390949010848999,0.5318789482116699,0.4346890449523926,0.47731804847717285
3,0.3958711624145508,0.4881570339202881,0.4066648483276367,0.40822696685791016
4,0.46909499168395996,0.41500210762023926,0.41391801834106445,0.4230170249938965
5,0.4680819511413574,0.7506520748138428,0.4033510684967041,0.4505288600921631
6,0.574760913848877,0.48480677604675293,0.39293408393859863,0.5088911056518555
7,0.7121241092681885,0.4441230297088623,0.4264240264892578,0.6310498714447021
8,0.6884300708770752,0.8006231784820557,0.5195178985595703,0.7116031646728516
9,1.1304049491882324,0.9179098606109619,0.6118829250335693,0.7269430160522461
10,1.5768258571624756,1.1958069801330566,0.6427860260009766,1.1310758590698242
11,0.8348870277404785,0.7743120193481445,0.8790969848632812,1.7292520999908447
12,0.6554961204528809,1.1277871131896973,0.8980491161346436,0.7965469360351562
13,0.6767289638519287,0.4516749382019043,0.9541919231414795,0.6347389221191406
14,0.6542060375213623,0.4492759704589844,0.7171111106872559,0.6270370483398438
15,0.8023719787597656,0.4023470878601074,0.5271368026733398,0.6824679374694824
16,0.9082620143890381,0.5442109107971191,0.5353782176971436,0.8143160343170166
