Please enter your Participant ID,1. I found the system to be intuitive,2. The system was easy to use,3. How much did the used system reflect your desired tempo?,4. It took me a long time to understand how the system works,5. I was able to express my desired intentions,6. I felt music was synchronised with my hand movements,7. I found the system to be versatile,8. I was satisfied with the overall sound of the system,9. I would use this system in a performance,10. I would use this system to explore expressivity
1,1,4,1,4,2,1,2,2,1,1
2,5,5,4,2,4,3,3,4,5,5
3,3,3,2,4,2,2,3,2,2,4
4,5,4,4,4,3,4,2,2,3,4
5,4,5,3,1,4,3,3,4,3,4
6,1,1,1,3,1,1,1,1,1,1
7,4,5,4,2,4,4,3,4,4,5
8,5,5,4,1,3,3,5,5,5,5
9,3,4,3,4,4,3,4,4,4,4
10,4,4,4,2,4,4,3,4,4,5
11,5,5,5,1,5,5,5,5,4,4
12,2,2,3,4,3,3,4,2,1,3
13,3,2,3,4,3,2,4,3,4,3
14,3,4,2,2,2,2,3,3,1,1
15,4,5,4,1,4,4,3,4,3,5
16,5,5,5,1,5,4,3,5,5,5
17,2,3,2,2,2,3,2,2,2,2
18,4,4,2,1,2,3,2,4,3,3
19,2,1,2,3,2,2,3,2,1,3
20,4,5,4,1,3,5,4,4,4,5
21,5,5,5,1,4,5,4,4,3,4
22,5,5,3,1,3,3,3,5,4,4
23,2,3,2,3,5,2,3,4,2,2
24,3,3,4,2,3,3,4,3,4,4
25,5,4,5,1,5,4,4,5,4,5
26,3,2,2,3,3,2,3,2,2,3
27,3,2,2,2,2,2,2,2,3,3
