time, phase
1554929377.795040, 0
1554929377.868053, 1
1554929377.922487, 2
1554929378.030893, 3
1554929378.086335, 0
1554929378.207742, 1
1554929378.444790, 2
1554929378.532277, 3
1554929378.741667, 0
1554929378.860942, 1
1554929378.933564, 2
1554929379.118608, 3
1554929379.311574, 0
1554929379.377915, 1
1554929379.527562, 2
1554929379.581063, 3
1554929379.628761, 0
1554929379.745063, 1
1554929379.860977, 2
1554929379.933162, 3
1554929380.010428, 0
1554929380.152699, 1
1554929380.258436, 2
1554929380.372577, 3
1554929380.449279, 0
1554929380.530531, 1
1554929380.679126, 2
1554929380.813837, 3
1554929380.923092, 0
1554929381.025640, 1
1554929381.150822, 2
1554929381.278872, 3
1554929381.406071, 0
1554929381.473056, 1
1554929381.550228, 2
1554929381.694536, 3
1554929381.787860, 0
1554929381.897979, 1
1554929382.056661, 2
1554929382.143301, 3
1554929382.239156, 0
1554929382.337039, 1
1554929382.461352, 2
1554929382.601579, 3
1554929382.715768, 0
1554929382.826065, 1
1554929382.991915, 2
1554929383.147269, 3
1554929383.405349, 0
1554929383.527441, 1
1554929383.774045, 2
1554929383.920023, 3
1554929384.224077, 0
1554929384.420723, 1
1554929384.695592, 2
1554929384.911432, 3
1554929385.089498, 0
1554929385.315670, 1
1554929385.620882, 2
1554929385.919746, 3
1554929386.371478, 0
1554929386.528767, 1
1554929388.035440, 2
1554929388.387835, 3
1554929388.594879, 0
1554929388.875469, 1
1554929391.602524, 2
1554929391.805876, 3
1554929391.891778, 0
1554929392.000160, 1
1554929392.101762, 2
1554929392.208235, 3
1554929392.296605, 0
1554929392.414800, 1
1554929392.597466, 2
1554929392.649683, 3
1554929392.725445, 0
1554929392.805034, 1
1554929392.996340, 2
1554929393.074290, 3
1554929393.140045, 0
1554929393.218080, 1
1554929393.454510, 2
1554929393.496389, 3
1554929393.535200, 0
1554929393.700527, 1
1554929393.810592, 2
1554929393.928433, 3
1554929394.020345, 0
1554929394.097853, 1
