time, phase
1551267841.011661, 1
1551267841.172634, 2
1551267841.364622, 3
1551267841.589740, 0
1551267841.739769, 1
1551267842.107936, 2
1551267842.571661, 3
1551267842.713425, 0
1551267842.891335, 1
1551267843.251879, 2
1551267843.789421, 3
1551267843.940011, 0
1551267844.103326, 1
1551267844.361690, 2
1551267844.631428, 3
1551267844.810648, 0
1551267845.077748, 1
1551267845.329357, 2
1551267845.811699, 3
1551267845.946852, 0
1551267846.189308, 1
1551267846.418990, 2
1551267846.671343, 3
1551267846.979196, 0
1551267847.192130, 1
1551267847.450936, 2
1551267847.710269, 3
1551267847.883270, 0
1551267848.296409, 1
1551267848.465025, 2
1551267848.624604, 3
1551267848.736660, 0
1551267848.848997, 1
1551267848.959146, 2
1551267849.107503, 3
1551267849.188554, 0
1551267849.267933, 1
1551267849.378089, 2
1551267849.431411, 3
1551267849.491517, 0
1551267849.578885, 1
1551267849.657807, 2
1551267849.784834, 3
1551267849.874498, 0
1551267849.977082, 1
1551267850.640231, 2
1551267850.869215, 3
1551267851.564414, 0
1551267851.676594, 1
1551267851.788115, 2
1551267851.915907, 3
1551267851.982804, 0
1551267852.047560, 1
1551267852.153121, 2
1551267852.254480, 3
1551267852.342108, 0
1551267852.435378, 1
1551267852.521424, 2
1551267852.588238, 3
1551267852.639685, 0
1551267852.701677, 1
1551267852.785691, 2
1551267852.866862, 3
1551267852.939379, 0
1551267853.023225, 1
1551267853.141930, 2
1551267853.224988, 3
1551267853.344858, 0
1551267853.392357, 1
1551267853.434435, 2
1551267853.516808, 3
1551267853.592331, 0
1551267853.782068, 1
1551267854.259836, 2
1551267854.746754, 3
1551267854.910276, 0
1551267855.066353, 1
1551267855.261955, 2
1551267855.420441, 3
1551267855.536419, 0
1551267855.601866, 1
1551267855.690882, 2
1551267855.822669, 3
1551267855.911235, 0
1551267856.020024, 1
1551267856.432210, 2
1551267856.701638, 3
1551267856.817412, 0
1551267856.931852, 1
1551267857.115362, 2
1551267857.243606, 3
1551267857.348032, 0
1551267857.432889, 1
1551267857.564325, 2
1551267857.642790, 3
1551267857.714151, 0
1551267857.792204, 1
1551267857.855835, 2
1551267857.974547, 3
1551267858.057285, 0
1551267858.151930, 1
1551267858.279283, 2
1551267858.377883, 3
1551267858.470614, 0
1551267858.562648, 1
1551267858.677462, 2
1551267858.817713, 3
1551267858.927744, 0
1551267859.060061, 1
1551267859.284682, 2
1551267859.577638, 3
1551267859.730957, 0
1551267859.932597, 1
1551267860.507162, 2
1551267861.046887, 3
1551267861.265508, 0
1551267861.518077, 1
1551267861.753207, 2
1551267861.992965, 3
1551267862.136356, 0
1551267862.310606, 1
1551267862.467957, 2
1551267862.586401, 3
1551267862.686336, 0
1551267862.818414, 1
1551267862.938525, 2
1551267862.972079, 3
1551267863.016777, 0
1551267863.120906, 1
1551267863.243298, 2
1551267863.413516, 3
1551267863.514140, 0
1551267863.608784, 1
1551267863.783983, 2
1551267863.940154, 3
1551267864.065285, 0
1551267864.146877, 1
1551267864.243092, 2
1551267864.346877, 3
1551267864.408863, 0
1551267864.519480, 1
1551267864.706589, 2
1551267864.894580, 3
1551267865.004363, 0
1551267865.155682, 1
1551267865.398407, 2
1551267865.615187, 3
1551267865.718410, 0
1551267865.802450, 1
1551267865.915069, 2
1551267866.014159, 3
1551267866.087875, 0
1551267866.180045, 1
1551267866.398181, 2
1551267866.511641, 3
1551267866.609878, 0
1551267866.677111, 1
1551267866.781081, 2
1551267866.834115, 3
1551267866.877065, 0
1551267866.960954, 1
1551267867.089196, 2
1551267867.190929, 3
1551267867.253700, 0
1551267867.328354, 1
1551267867.422624, 2
1551267867.514486, 3
1551267867.615748, 0
1551267867.705560, 1
1551267867.793126, 2
1551267867.891970, 3
1551267867.967903, 0
1551267868.097439, 1
1551267868.256538, 2
1551267868.524978, 3
1551267868.817343, 0
1551267869.009125, 1
1551267869.186788, 2
1551267869.433718, 3
1551267869.606705, 0
1551267869.736730, 1
1551267869.921647, 2
1551267870.092159, 3
1551267870.198020, 0
1551267870.283402, 1
1551267870.397966, 2
1551267870.524999, 3
1551267870.624269, 0
1551267870.738112, 1
1551267870.873737, 2
1551267870.992680, 3
1551267871.103227, 0
1551267871.233094, 1
1551267871.405885, 2
1551267871.602805, 3
1551267871.949319, 0
1551267872.200020, 1
1551267873.133009, 2
1551267873.243983, 3
1551267873.520071, 0
1551267873.663242, 1
1551267873.842217, 2
1551267874.079095, 3
1551267874.224954, 0
1551267874.356981, 1
1551267874.553666, 2
1551267874.739911, 3
1551267874.895169, 0
1551267875.006401, 1
1551267875.363039, 2
1551267875.387292, 3
1551267875.406824, 0
1551267875.459187, 1
1551267875.537978, 2
1551267875.581883, 3
1551267876.225531, 0
1551267876.259092, 1
1551267876.286530, 2
1551267876.343291, 3
1551267877.075798, 0
1551267877.163944, 1
1551267877.272123, 2
1551267877.393378, 3
1551267877.493561, 0
1551267877.571804, 1
1551267877.674720, 2
1551267877.772519, 3
1551267877.834920, 0
1551267877.915245, 1
1551267878.041076, 2
1551267878.104539, 3
1551267878.178287, 0
1551267878.241100, 1
1551267878.324845, 2
1551267878.422127, 3
1551267878.474968, 0
1551267878.546445, 1
1551267878.631365, 2
1551267878.716859, 3
1551267878.786724, 0
1551267878.857193, 1
1551267878.946414, 2
1551267879.033933, 3
1551267879.088804, 0
1551267879.163845, 1
1551267879.254656, 2
1551267879.330191, 3
1551267879.385875, 0
1551267879.449979, 1
1551267879.527284, 2
1551267879.614715, 3
