id,q1,q2,q3,q4,q5,q6,q7,q8
1,4,5,5,4,2,1,2,3
2,4,2,5,5,3,4,3,4
3,5,4,4,5,5,4,4,4
4,5,5,5,5,4,5,5,5
5,5,5,5,5,4,5,4,4
6,1,3,4,3,4,5,3,4
7,4,3,4,4,5,4,5,3
8,5,4,5,5,5,4,5,5
9,4,4,5,5,5,5,5,5
10,4,4,5,5,5,5,5,5
11,5,5,5,4,4,3,4,4
12,4,4,5,5,5,3,5,4
13,4,5,4,4,3,5,5,4
14,2,3,2,2,1,1,1,1
15,5,5,5,5,5,5,5,5
16,5,4,5,5,5,5,5,5
17,1,1,2,2,3,2,4,4
22,5,5,5,5,5,5,5,5
18,2,2,4,3,2,3,4,2
19,4,5,5,4,5,5,5,4
20,5,4,4,4,3,4,4,4
