beat,time,naive,each_beat,phase
1.0,0.0,0.0,0.0,0.0
2.0,0.27792811393737793,0.2532181846888717,0.25064580894246097,0.2823921416850382
3.0,0.5889630317687988,0.8604713643930954,0.8026303485914182,0.6255026272448885
4.0,0.9848361015319824,1.1281717333170591,0.9575474375039531,0.9907102362516017
5.0,1.6058430671691895,1.4657412173708544,1.4304405811414966,1.565046247851804
6.0,2.107297897338867,1.8529485525336498,2.2526939578198926,2.152970774443162
7.0,2.4415149688720703,2.361404862437411,2.6280341019560125,2.490714302716331
8.0,2.6658740043640137,2.7251001944882116,2.829886268349282,2.7270631182772047
9.0,2.889770030975342,2.9383610740188693,2.9671184177806853,2.941464240673133
10.0,3.1204171180725098,3.1354845402722815,3.1980809607470677,3.1462162641391047
11.0,3.33469295501709,3.3387046796552466,3.4519434253486168,3.3829834844893476
12.0,3.5821640491485596,3.527034652465238,3.623451886055963,3.610831645141777
13.0,3.799765110015869,3.7162540553020453,3.881821954279855,3.8137741160970435
14.0,4.0522661209106445,3.919739525855801,4.078937708309969,4.0555715935664844
15.0,4.426724910736084,4.113438413091233,4.344499180495896,4.4305830341499135
16.0,4.8714070320129395,4.3200579297859925,4.846960080093756,4.862728178958218
17.0,5.316771030426025,4.526001517700683,5.364712117840662,5.29796869975147
18.0,5.845391035079956,4.851581646664314,5.783904492864336,5.842480355213581
19.0,6.382054090499878,5.220995864003819,6.405679031783186,6.308652221314035
20.0,8.261711120605469,5.608989920353125,6.946319800727362,8.250095755105763
21.0,8.59945011138916,5.996632103823605,7.461807084319624,8.613357637231957
22.0,8.831137895584106,6.4625767016704305,7.991363129291593,8.86848477788162
23.0,9.020785093307495,6.9352900973957565,9.154609386692016,9.064651308601672
24.0,9.203778982162476,7.406366333226761,9.307228626325063,9.246395406950835
25.0,9.393779039382935,7.8767345437650995,9.455407881151993,9.42279785475461
26.0,9.574211120605469,8.347803647037749,9.688464464571497,9.61779280386111
27.0,9.748281002044678,8.940735125069859,9.836723719124663,9.795230417892041
28.0,9.943469047546387,9.15416171770629,9.982542267744348,9.979579664494828
29.0,10.234461069107056,9.303715299269639,10.631182190918803,10.242908117455931
30.0,10.594104051589966,9.465015015683264,11.021823235075326,10.60260729244131
31.0,10.884896039962769,9.62585420657913,11.278463785408203,10.920175563506344
32.0,11.098575115203857,9.774427536872615,11.408850243980234,11.135975787170873
33.0,11.310811042785645,9.927591143971165,11.586150827723749,11.34024264425378
34.0,11.508044958114624,10.125130200624705,11.810023156858009,11.548905884840654
35.0,11.714401006698608,10.4147173003636,11.948146017527062,11.736414135806498
36.0,12.033020973205566,10.700833934959098,12.086796257343774,12.061858105778343
37.0,12.374743938446045,11.015709044840278,12.783700539164373,12.399823128291969
38.0,12.790962934494019,11.372664109245997,13.257240823444508,12.809420448641818
39.0,13.360582113265991,11.577021178430684,13.962862218291795,13.285298052569406
40.0,14.742356061935425,11.746874972078961,14.725809369348038,14.755682868008806
41.0,16.181905031204224,11.901215213554073,17.35264109446627,16.336405075483523
42.0,17.056354999542236,12.051117814972908,17.54993351455849,17.216798165092843
43.0,17.321070909500122,12.249401986222557,17.68442448289418,17.500688224845813
44.0,17.508479118347168,12.5428542193338,17.81066047947885,17.642505997966083
45.0,17.702395915985107,12.835161439077188,17.93902075450841,17.766460103932854
46.0,17.881493091583252,13.191060647094483,18.319779451530504,17.933091257398715
47.0,18.079561948776245,13.59002695571259,18.566099084801195,18.11961302748732
48.0,18.656995058059692,14.077787196542745,19.18123055121492,18.634770068133044
49.0,18.877268075942993,14.564499664550613,19.552157615214757,18.932329383432723
50.0,19.064673900604248,15.345713089499794,19.66909935789061,19.12644076574324
51.0,19.240675926208496,16.54326226692411,19.909427106903962,19.289324593365144
52.0,19.42556405067444,17.456531681281174,20.153968174832432,19.47268711807411
53.0,19.62642502784729,17.672428278875795,20.61954729587993,19.673678800800598
54.0,19.853514909744263,17.849524710029264,21.017313791843225,19.89652297514146
55.0,20.195001125335693,18.019678546632324,21.27759242496447,20.20428837869611
56.0,20.57407808303833,18.217958676098903,21.47480794055796,20.58981513181145
57.0,20.89492893218994,18.705876546468694,21.618599115163054,20.935409293266723
58.0,21.139822006225586,19.06352584655426,21.868969210763307,21.17922263344255
59.0,21.34340000152588,19.24395793749822,22.074268746311862,21.371641597302055
60.0,21.56064200401306,19.477598676015432,22.49587182737168,21.584427426553773
61.0,21.77968192100525,19.66522965810667,22.775276347424004,21.805108236038997
62.0,22.097681999206543,19.824758360280853,23.276815583509183,22.10663444329042
63.0,22.4039409160614,20.00122260901216,23.643216710616077,22.415010582868266
64.0,22.811103105545044,20.204954390581094,23.808608525588266,22.793369020750067
65.0,23.222039937973022,20.453459618461203,24.035418701811903,23.25238197126375
66.0,23.476392030715942,20.770128566768562,24.20848215719797,23.513143838624625
67.0,23.71191906929016,21.089161007162684,24.674485800602252,23.7349962297234
68.0,23.930668115615845,21.348176773034105,24.99091995584182,23.94756249286733
69.0,24.244209051132202,21.53544066612203,25.221522023851296,24.249354541410618
70.0,24.580113887786865,21.695415153193373,25.38912287888307,24.598612395955293
71.0,24.849322080612183,21.895719502720986,25.637182030010553,24.867556535317494
72.0,25.075191974639893,22.076993235550788,26.00019293062376,25.08297040939829
73.0,25.31646490097046,22.284005756210885,26.3480962638883,25.31689411609359
74.0,25.612757921218872,22.561470835274218,26.812228247030845,25.62954323868453
75.0,25.946717977523804,22.830709934787212,27.19916239911066,25.951987998288338
76.0,26.333789110183716,23.140880171425763,27.749011946065682,26.32982873254827
77.0,26.733253002166748,23.50568128777347,28.2094389418869,26.714398167793
78.0,27.21255111694336,23.763717753382807,28.476995645340274,27.17467163503963
79.0,27.681490898132324,23.97055885489045,28.659722877180155,27.666302082880343
80.0,28.049371004104614,24.156918339579015,28.838628455431287,28.059424714648774
81.0,28.30641198158264,24.32848941552713,29.049522257550233,28.332416486518273
82.0,28.524415016174316,24.580064972026943,29.287746918522377,28.5369824451816
83.0,28.729448080062866,24.86709100781265,29.48223625296882,28.742385695456832
84.0,28.958075046539307,25.136503666245606,29.810452272652086,28.953629741622375
85.0,29.175642013549805,25.342991706114695,30.16885533189073,29.186560459992673
86.0,29.434566974639893,25.53299687913023,30.53274289617061,29.448118887162803
87.0,29.75432801246643,25.734926738706854,30.92435179415794,29.753920246576573
88.0,30.0958731174469,25.9952189947718,31.505693376202572,30.08253961003917
89.0,30.466290950775146,26.27377083797643,31.936432854568544,30.446834489243265
90.0,30.945750951766968,26.579124695710075,32.44091993770888,30.897888590128748
91.0,31.40796995162964,26.922836025763004,32.789517316217406,31.386843271856797
92.0,31.882833003997803,27.261373873489404,32.98172070610553,31.843525833022312
93.0,32.31867289543152,27.651201710591675,33.13028757865363,32.337913992614155
94.0,32.59217810630798,28.064344216691463,33.35071634814337,32.59458388041632
95.0,32.8082959651947,28.41285005247034,33.82952256678413,32.870137176537796
96.0,33.032824993133545,28.641987769146358,34.148344332900784,33.080568514782975
97.0,33.388883113861084,28.835544956222478,34.305216891312064,33.42278723898299
98.0,33.739465951919556,29.018317477314522,34.44952734985443,33.78042234794523
99.0,33.95487689971924,29.214570295944785,34.59248686063885,34.017590860907404
100.0,34.165143966674805,29.409728980123454,35.246358432576976,34.2210339233071
101.0,34.48284196853638,29.585882011558553,35.55715046426707,34.508384499169374
102.0,34.78655195236206,29.81575557050482,35.647337536594165,34.84317629734151
103.0,35.029062032699585,30.071759732486992,35.735467711198176,35.07371926441671
104.0,35.227272033691406,30.35500456133699,35.82594454443845,35.27784054748304
105.0,35.41877508163452,30.658077664660784,36.73908522914293,35.45978902789521
106.0,35.69826698303223,30.967243874834956,37.04300847481459,35.71512416585664
107.0,36.00053310394287,31.34091813152771,37.227656176272994,36.019975437897315
108.0,36.3253231048584,31.739921291697318,37.389254194703966,36.339825171944014
109.0,36.62562608718872,32.1352200388095,37.54910436197332,36.65860744354134
110.0,36.86033511161804,32.53978659449568,37.709440241866254,36.90246609483491
111.0,37.073668003082275,32.85868137651356,38.44223749609716,37.115112134468056
112.0,37.25402593612671,33.07458795968988,38.64263776269701,37.58400555983208
113.0,37.573302030563354,33.262882031956146,38.780497052839436,37.91403318319346
114.0,37.863466024398804,33.44315554235269,39.11654852189983,38.124889915708934
115.0,38.07741594314575,33.69547811546418,39.52288522663062,38.31785502314719
116.0,38.28841590881348,34.00475297827728,39.84375031908823,38.52722082707566
117.0,38.48364496231079,34.24907995347327,40.14209310766606,38.760608753905316
118.0,38.73745894432068,34.40157737962151,40.29206497540618,39.06242707325623
119.0,39.06411600112915,34.54988442773642,40.478982431002116,39.41945867669279
120.0,39.39703702926636,34.77046996919334,40.74103867708789,39.729223794842724
121.0,39.71575307846069,35.05475591381117,40.902544791071456,39.97256667064709
