time,vel
0.0,0.0
0.023087024688720703,0.0
0.029752016067504883,775.771484
0.03543496131896973,1002.794739
0.04133200645446777,904.780823
0.046549081802368164,820.222229
0.05257105827331543,820.222229
0.057847023010253906,732.002991
0.0635519027709961,732.002991
0.07602906227111816,637.834961
0.08192610740661621,637.834961
0.08719897270202637,454.497498
0.09261393547058105,347.844757
0.0982820987701416,347.844757
0.10370111465454102,254.591217
0.10899591445922852,254.591217
0.11486291885375977,182.9478
0.12077212333679199,50.17355
0.12616205215454102,50.17355
0.13308501243591309,-85.764015
0.13855600357055664,-212.92041
0.14383196830749512,-212.92041
0.14933991432189941,-309.852722
0.15459990501403809,-309.852722
0.1599268913269043,-423.67511
0.16530489921569824,-510.59552
0.17073702812194824,-510.59552
0.1760549545288086,-600.67688
0.18199610710144043,-600.67688
0.18736696243286133,-667.725952
0.19272398948669434,-699.968689
0.19814205169677734,-699.968689
0.20365500450134277,-726.874817
0.2088940143585205,-726.874817
0.21422505378723145,-736.508545
0.21973395347595215,-707.329712
0.2253720760345459,-707.329712
0.23096609115600586,-649.539978
0.23633503913879395,-649.539978
0.24181389808654785,-560.374512
0.24783706665039062,-442.080109
0.2534339427947998,-442.080109
0.25900912284851074,-321.639282
0.2646200656890869,-321.639282
0.2720351219177246,-209.571915
0.27792811393737793,-209.571915
0.28331995010375977,106.595741
0.28870296478271484,106.595741
0.2940659523010254,259.965973
0.2994709014892578,259.965973
0.3053760528564453,381.822723
0.3111889362335205,483.29657
0.3164069652557373,483.29657
0.3217909336090088,563.526733
0.3280909061431885,563.526733
0.34157490730285645,619.502563
0.34682798385620117,642.83667
0.35236191749572754,625.456604
0.35768604278564453,601.961975
0.36339807510375977,601.961975
0.36924004554748535,563.590088
0.37450408935546875,502.906586
0.3800079822540283,502.906586
0.3854689598083496,434.674011
0.39076900482177734,353.752411
0.3962290287017822,353.752411
0.40213990211486816,269.901886
0.4074239730834961,269.901886
0.41272807121276855,194.79245
0.4179809093475342,122.240204
0.42339205741882324,122.240204
0.42927002906799316,122.240204
0.43463706970214844,122.240204
0.4399878978729248,122.240204
0.4459099769592285,-253.429794
0.4518101215362549,-253.429794
0.4577159881591797,-312.542145
0.4631500244140625,-378.555756
0.4684751033782959,-378.555756
0.47380590438842773,-451.956238
0.4793128967285156,-451.956238
0.48459291458129883,-522.56543
0.48983097076416016,-575.759583
0.4952199459075928,-575.759583
0.5005929470062256,-634.27655
0.5064880847930908,-634.27655
0.5119791030883789,-679.254761
0.5172929763793945,-679.254761
0.523029088973999,-698.667908
0.5288679599761963,-690.344116
0.5343790054321289,-690.344116
0.5397961139678955,-650.489563
0.54522705078125,-581.923584
0.5505518913269043,-581.923584
0.555833101272583,-482.956696
0.5610690116882324,-482.956696
0.5667400360107422,-364.334656
0.5723841190338135,-260.033783
0.5779581069946289,-260.033783
0.583503007888794,-119.423271
0.5889630317687988,-119.423271
0.5944819450378418,52.312538
0.6003270149230957,208.535568
0.6061849594116211,208.535568
0.611536979675293,348.628662
0.6170868873596191,348.628662
0.6223781108856201,469.614655
0.6281518936157227,577.166199
0.6340110301971436,577.166199
0.6398239135742188,654.843323
0.6451900005340576,700.674744
0.6506481170654297,700.674744
0.6559269428253174,716.814148
0.6612339019775391,716.814148
0.6670830249786377,716.831055
0.6725740432739258,689.051636
0.6778531074523926,689.051636
0.6833291053771973,643.746643
0.6885230541229248,577.925781
0.694425106048584,577.925781
0.6997520923614502,496.835754
0.7050039768218994,496.835754
0.7104659080505371,409.162628
0.7164161205291748,325.054291
0.7218050956726074,325.054291
0.7272529602050781,248.475082
0.7324690818786621,248.475082
0.7379240989685059,181.872269
0.7433938980102539,118.402184
0.7488689422607422,118.402184
0.7543261051177979,61.778999
0.7595260143280029,61.778999
0.7649989128112793,-63.747009
0.7715530395507812,-63.747009
0.7769069671630859,-177.235977
0.7827489376068115,-261.170349
0.7880520820617676,-338.423981
0.7933568954467773,-338.423981
0.798759937286377,-402.573212
0.8039441108703613,-402.573212
0.8093929290771484,-458.200043
0.8147530555725098,-458.200043
0.8205299377441406,-509.206329
0.825767993927002,-538.590271
0.8310830593109131,-538.590271
0.8365790843963623,-574.974426
0.8425540924072266,-574.974426
0.8482840061187744,-601.981262
0.853492021560669,-616.132263
0.85890793800354,-616.132263
0.864177942276001,-623.769958
0.8696548938751221,-623.769958
0.8754370212554932,-613.114624
0.8812971115112305,-607.177307
0.8864960670471191,-607.177307
0.8919179439544678,-591.451599
0.89717698097229,-591.451599
0.9024848937988281,-563.483154
0.9084439277648926,-529.731201
0.9140019416809082,-529.731201
0.9198870658874512,-489.386322
0.9252300262451172,-428.129486
0.930448055267334,-428.129486
0.9356811046600342,-353.313202
0.9411311149597168,-353.313202
0.9465200901031494,-282.289673
0.9519259929656982,-215.424988
0.9574480056762695,-215.424988
0.9627790451049805,-156.878418
0.9682149887084961,-156.878418
0.9736509323120117,-103.735405
0.9789979457855225,-22.976805
0.9848361015319824,-22.976805
0.9901280403137207,77.837151
0.995358943939209,77.837151
1.001262903213501,177.310715
1.0069859027862549,264.149841
1.0125629901885986,264.149841
1.0178189277648926,345.566498
1.0234119892120361,345.566498
1.0292260646820068,421.537262
1.0345230102539062,481.652252
1.0401420593261719,481.652252
1.0455329418182373,562.536926
1.0507879257202148,598.682068
1.056138038635254,598.682068
1.0614020824432373,621.611694
1.0668799877166748,621.611694
1.0723741054534912,670.882812
1.0779120922088623,676.217773
1.0832850933074951,676.217773
1.0887451171875,682.99115
1.0939860343933105,682.99115
1.0997929573059082,677.379089
