beat,each_beat,borch,phase
1.0,0.027319448732701535,0.0,-0.004415908383397837
2.0,-0.21395821609929966,-0.29792094230651855,-0.03614572200484201
3.0,0.027325816423376392,-0.17049884796142578,-0.005810815303997741
4.0,0.17564128930875667,0.11199212074279785,0.04035705569572978
5.0,-0.14559401124605165,0.22515392303466797,-0.045180552698056875
6.0,-0.18677307122341968,0.04948902130126953,-0.04866899648962386
7.0,-0.16423555994681038,-0.0908670425415039,-0.06052953439717479
8.0,-0.07745369345733222,-0.08082985877990723,-0.05113697917698801
9.0,-0.07776957880675761,-0.047858953475951926,-0.025521047771196237
10.0,-0.11741010203148505,-0.037373065948486106,-0.04776998844754754
11.0,-0.04134404860168894,0.02123999595642112,-0.02835857764205496
12.0,-0.08216856128743188,0.049091100692749245,-0.013857997954728862
13.0,-0.02670789967018461,0.09753608703613303,-0.0032698417745429254
14.0,0.08233767719495333,0.2777528762817385,-0.003816535310795288
15.0,0.02448023544020206,0.5152361392974856,0.00858530056913498
16.0,-0.04800635723624236,0.7540791034698489,0.018599653574443487
17.0,0.061570253617635906,0.9562060832977297,0.002879304598867094
18.0,-0.02365710567060475,1.1224191188812258,0.07261064397834982
19.0,1.3171821711378797,2.6129941940307617,0.011490159287935953
20.0,1.1391918813286548,2.5620040893554688,-0.013757611608422593
21.0,0.840918085147834,2.3264408111572266,-0.03694430679061078
22.0,-0.13400648966388928,2.0420491695404053,-0.04339336554684614
23.0,-0.10359048660450831,1.7526459693908694,-0.04215704698340872
24.0,-0.0617127469060712,1.4709589481353762,-0.028706011100226192
25.0,-0.11440889520152986,1.1790010929107668,-0.043111900581720874
26.0,-0.08856312820700651,0.7584769725799563,-0.04644333116985244
27.0,-0.039126416782549356,0.7396399974823,-0.035721367591380115
28.0,-0.3972612413260226,0.8806591033935549,-0.008355994569773983
29.0,-0.42830150558753566,1.0785501003265383,-0.008411581353001907
30.0,-0.39410357176729427,1.208051919937134,-0.034899232841913985
31.0,-0.3106975556214149,1.2727410793304446,-0.03699751664187545
32.0,-0.275714648747277,1.3313839435577395,-0.029114347626553183
33.0,-0.30238932965893106,1.3305249214172366,-0.04042047206750787
34.0,-0.23406324506094478,1.2464818954467776,-0.021775841654052996
35.0,-0.0538484969790467,1.2781829833984377,-0.028526286725709227
36.0,-0.4095133783346334,1.3041479587554934,-0.02480885221815221
37.0,-0.46691270714657485,1.3624110221862795,-0.018258553949328515
38.0,-0.6031000846535548,1.7271001338958742,0.07447254666831427
39.0,0.016569220229783355,2.9385440349578857,-0.013183151626735778
40.0,-1.1723299723308322,4.223320007324219,-0.15283463260860586
41.0,-0.4942505018935073,4.947447061538696,-0.15871369083338394
42.0,-0.3638482643615468,5.013322830200195,-0.17768115555602648
43.0,-0.30259276864448026,4.906455993652344,-0.13258215557016229
44.0,-0.23694699352292758,4.807245969772339,-0.06337361697231714
45.0,-0.4388830688261933,4.629446029663086,-0.05104197058629012
46.0,-0.48719953635389146,4.427429914474487,-0.03961935369623504
47.0,-0.5249492182491586,4.515735149383545,0.02198541874867388
48.0,-0.6758083736622211,4.247931003570557,-0.05446778180807499
49.0,-0.6052483577231058,3.651932954788208,-0.06110105783425013
50.0,-0.6696616579628198,2.627027988433838,-0.04812426563673711
51.0,-0.7293958164579664,1.8960859775543215,-0.04661511086948167
52.0,-0.9944743632136976,1.8804450035095217,-0.04674440750083875
53.0,-1.1653833464804997,1.9299418926239016,-0.04254446595694361
54.0,-1.0840652032219253,2.100797176361084,-0.009187142708622531
55.0,-0.9019561642282703,2.2810380458831787,-0.015567413451581302
56.0,-0.7246554302065782,2.112602949142456,-0.04004400867257374
57.0,-0.7301399085111093,1.9988439083099367,-0.038975913653249705
58.0,-0.7318637925657185,2.021483898162842,-0.02793716943491731
59.0,-0.9365031003538569,2.004430055618286,-0.02352903089709457
60.0,-0.9969498873419269,2.0353128910064697,-0.02515223561844948
61.0,-1.1807389262514398,2.1933369636535645,-0.008855942461966748
62.0,-1.240963017652735,2.322636842727661,-0.01095034287801866
63.0,-0.9988634827057332,2.525496006011963,0.017542922702276087
64.0,-0.8144861456209256,2.6872308254241943,-0.030014965576338426
65.0,-0.7330868371227801,2.62402606010437,-0.03635564692312698
66.0,-0.963877226384799,2.539626121520996,-0.02282840340219039
67.0,-1.0616953295626104,2.4986331462860107,-0.01671226666908865
68.0,-0.9786435441938615,2.624385118484497,-0.005090025183882574
69.0,-0.8101104236121266,2.7998669147491455,-0.018299106080629457
70.0,-0.7889325883625986,2.86820912361145,-0.018037898944978537
71.0,-0.9262603067962694,2.912297010421753,-0.0076945882062062765
72.0,-1.0330358866500475,2.945976972579956,-0.0004245884585962756
73.0,-1.2011033553991233,2.964026927947998,-0.01660438247800755
74.0,-1.2541495732297925,3.0279929637908936,-0.005213213311002107
75.0,-1.4171496036507634,3.1040241718292236,0.003917687297299466
76.0,-1.478195706251114,3.1376640796661377,0.018651591317336624
