time, phase
1551391316.161941, 0
1551391316.264151, 1
1551391316.382104, 2
1551391316.475964, 3
1551391316.565328, 0
1551391316.648060, 1
1551391316.961184, 2
1551391317.106036, 3
1551391317.267631, 0
1551391317.519165, 1
1551391317.751495, 2
1551391317.839508, 3
1551391318.104315, 0
1551391318.205085, 1
1551391318.299449, 2
1551391318.370718, 3
1551391318.443479, 0
1551391318.560294, 1
1551391318.765134, 2
1551391318.872319, 3
1551391318.976432, 0
1551391319.061532, 1
1551391319.210230, 2
1551391319.387991, 3
1551391319.484585, 0
1551391319.587692, 1
1551391319.800781, 2
1551391319.982279, 3
1551391320.152842, 0
1551391320.237902, 1
1551391320.346343, 2
1551391320.477509, 3
1551391320.602601, 0
1551391320.673205, 1
1551391320.772439, 2
1551391320.872265, 3
1551391320.930395, 0
1551391321.071993, 1
1551391321.205214, 2
1551391321.332949, 3
1551391321.523149, 0
1551391321.695189, 1
1551391322.165057, 2
1551391322.452033, 3
1551391322.647559, 0
1551391322.823709, 1
1551391323.078844, 2
1551391323.280907, 3
1551391323.458885, 0
1551391323.652881, 1
1551391324.624800, 2
1551391324.767827, 3
1551391324.912120, 0
1551391325.091995, 1
1551391326.574931, 2
1551391326.709690, 3
1551391326.931435, 0
1551391327.279542, 1
1551391328.488492, 2
1551391328.617581, 3
1551391328.760001, 0
1551391328.837371, 1
1551391328.955144, 2
1551391329.057974, 3
