id,q1,q2,q3,q4,q5,q6
1,3,3,3,2,3,2
2,1,1,1,3,1,2
3,1,1,1,3,1,2
4,4,4,4,4,4,2
5,3,3,3,2,3,1
6,1,1,1,1,1,3
7,2,2,3,3,2,1
8,4,4,4,4,4,1
9,3,3,3,3,3,2
10,2,2,2,2,2,3
11,2,2,2,2,2,3
12,2,1,2,3,1,3
13,1,2,2,1,1,3
14,3,3,3,3,3,1
15,3,3,3,3,3,1
16,2,3,2,3,2,1
17,3,3,3,2,3,1
18,2,2,2,1,2,3
19,3,3,3,3,3,1
20,2,2,2,2,2,3
21,1,1,1,1,1,3
22,3,3,3,3,3,1
23,3,3,3,4,3,1
24,2,2,2,2,2,3
25,1,1,1,1,1,2
26,1,1,1,1,1,2
27,2,4,4,4,4,4
