id,e1_n,e1_c,e1_p,e2_n,e2_c,e2_p,e3_n,e3_c,e3_p
1.0,0.42774038684557025,0.4133069565839321,0.2692556125003291,0.1524964627248539,0.10274661235020867,0.18319478268546732,0.4442112305247616,0.4520668939780135,0.3227138588508218
2.0,0.3632408056002887,0.2933346173400198,0.18721937891631835,0.11734930567736623,0.16652858918814323,0.08794813953607149,0.4395431662289909,0.41672466686226706,0.37597186872978616
3.0,0.3901020256797101,0.3784968509698501,0.2948558128558315,0.1098385000237642,0.20342870611099292,0.134452961670722,0.42497543432657137,0.41329501269710067,0.4495087082890557
4.0,0.4338885044329053,0.3972855692922114,0.3892741450558363,0.10885690544312378,0.12959225712112624,0.1361935666924863,0.3417497864939566,0.4389021224992842,0.3425525191986922
5.0,0.27544482132549414,0.34780996994043256,0.3583181385077669,0.09362957571594556,0.15249159413505925,0.12326273009439581,0.44042394374575233,0.3743103878454172,0.5960116270126486
6.0,0.4223356852542716,0.2921084375423528,0.30492970488991056,0.12881977058529043,0.1628371700314829,0.3006127972065244,0.4639901610267851,0.42937125146267235,0.5292496989501979
7.0,0.31268793087023367,0.6469314505647983,0.31024002776132165,0.1960429807311407,0.18055150308559342,0.20030877076858217,0.4210097997179204,0.37073114328230766,0.3963088156736464
8.0,0.7290031495448667,0.3144976082598081,0.29607381938344196,0.16486989964642645,0.1745870973018631,0.11846839208323008,0.4910344983665297,0.4029485302451906,0.3868263386966221
9.0,0.41090021471201726,0.4431290026321842,0.29962870453137846,0.11574218964104219,0.12192607498152912,0.10894053799579155,0.3918420855409077,0.43729468239653435,0.6684414654675486
10.0,0.4365436231935859,0.9780669869759352,0.43051653988214417,0.11611298523516257,0.2195129902427274,0.15841301394723048,0.4234941558437599,0.4054968014699546,0.30364705510577233
11.0,0.3714346804203485,0.32804868523870784,0.34680661582764,0.16821559411838272,0.14423177226891304,0.12932947093377853,0.4746413305433368,0.4819534057337775,0.46554121412140265
12.0,0.42092848334836247,0.6979380671857011,0.3140550566677762,0.13431960138164262,0.15240964760337566,0.18456184519258226,0.43606726991342376,0.4814884571510277,0.15034828190146654
13.0,0.3529502681376454,0.3406501217923971,0.24340221444278318,0.0867939592546543,0.23257729584389253,0.21851745689839372,0.39962203627768966,0.385518963326048,0.22355716301066134
14.0,0.34187935741947956,0.3492314333560454,0.2753497842378282,0.12111177776886158,0.2626202016970174,0.14928910213174273,0.4485370739105027,0.4477833931144566,0.10000011347426267
15.0,0.3128853709992316,0.5526319340009483,0.34037429300594196,0.1224239509489603,0.1585285213064927,0.09578056498452014,0.3652440771605865,0.4313224855599735,0.3689623753029298
16.0,0.2629047353958804,0.1813900012588271,0.18105757963690086,0.15400202289649578,0.2413570397274861,0.1059711037507752,0.4244946416624607,0.4278361172317789,0.402634321323084
17.0,0.38091964445252696,0.38987169622380785,0.2899658276967506,0.19760445557931422,0.16304427904803587,0.16040247924398082,0.47884132681570235,2.024729239561094,0.41199136540177717
18.0,0.32283982159295344,0.41548820174456547,0.3180060309909607,0.1345159175197342,0.22183790304702664,0.3375191057658044,0.4610237832542545,0.30485606884777994,0.4494100139720931
19.0,0.3726272477351581,0.37126196084942964,0.21556032023498253,0.13291618373659944,0.46753925919922357,0.12604958442473765,0.42721730237336136,0.548494740219182,0.21872708322387197
20.0,0.3226497927659747,0.4423379248825367,0.364050739176561,0.507279027640963,0.2660194205793358,0.21197534126873285,0.37415518490623956,0.541552957551208,0.23565413330797597
21.0,0.3399263986391566,0.4160222874467624,0.21831436393150905,0.12823631617486125,0.18002306203268248,0.24179573531229218,0.4211567787646319,0.4252518455685556,0.16465192921262675
22.0,0.3048494321991846,0.39831776332104857,0.5013117516904811,0.43009446781836985,0.5783016181946727,0.15413106470593435,0.3877927195690936,0.3692113867876537,0.22779506856423315
23.0,0.35637919243556887,0.4354204259378353,0.43072894672226847,0.15542628586196233,0.24966242735773722,0.10936557185254776,0.44099435811323145,0.387465804747449,0.11415556135825032
24.0,0.32177616545887405,0.25324068666888633,0.2947428474236231,0.17172180877586352,0.4922943069749562,0.22487316924657105,0.4422493325888245,0.3820496146813374,0.3041215380887832
25.0,0.32971197826219806,0.5001998832193395,0.18491209056348654,0.17502818151322252,0.5102133513841675,0.4534593507833244,0.42546436838039847,0.4201121322578654,0.37961783957384015
26.0,0.38281032956560285,0.22859763936185684,0.583734082773661,0.14708790605619124,0.2767325263432413,0.2457910909343726,0.46635824098224915,0.4930640119169022,0.2781992543141753
27.0,0.2874053783354688,0.3013330345556742,0.22951497939012716,0.15937881567202866,0.2820077249623827,0.12147160436571362,0.4490845537537149,0.36880427189557174,0.4126211316573722
