id,q1,q2,q3,q4,q5,q6
1,4,4,4,4,4,3
2,2,2,2,3,2,1
3,1,1,1,1,1,2
4,3,3,3,3,3,2
5,2,2,2,2,2,3
6,2,2,2,2,2,4
7,2,2,2,2,2,3
8,2,2,2,3,2,1
9,1,1,1,2,2,3
10,3,2,3,1,3,2
11,1,1,1,1,1,3
12,3,1,3,3,3,2
13,2,2,2,2,2,3
14,1,1,1,1,1,2
15,2,3,2,3,3,1
16,1,1,1,3,1,2
17,4,4,4,4,4,4
18,1,1,1,2,1,3
19,1,2,1,1,1,3
20,3,2,3,3,3,1
21,2,2,2,2,2,1
22,3,3,3,3,3,1
23,1,1,1,4,1,3
24,2,2,2,2,2,3
25,3,3,3,3,3,2
26,1,1,1,1,1,2
27,3,3,3,3,3,1
