id,q1,q2,q3,q4,q5,q6
1,2,2,2,2,2,1
2,2,2,2,3,2,1
3,2,2,2,1,2,3
4,3,3,3,3,3,3
5,1,1,1,2,1,2
6,1,1,1,1,1,3
7,4,4,4,4,4,4
8,3,3,3,3,3,3
9,1,1,2,2,1,3
10,3,3,3,3,3,2
11,1,1,1,1,1,3
12,2,2,2,2,2,3
13,1,1,3,1,1,2
14,2,2,2,3,2,1
15,2,2,2,2,2,1
16,3,2,3,1,3,1
17,4,4,4,4,4,4
18,1,1,2,2,1,3
19,2,2,2,3,2,1
20,3,3,3,3,3,1
21,3,3,3,3,3,2
22,1,1,1,1,1,3
23,2,2,2,1,2,1
24,2,2,2,2,2,3
25,4,4,4,4,4,4
26,1,1,1,1,1,3
27,1,1,1,1,1,2
