time, phase
1553636605.025417, 0
1553636605.092012, 1
1553636605.158243, 2
1553636605.227674, 3
1553636605.287351, 0
1553636605.338480, 1
1553636605.386568, 2
1553636605.506601, 3
1553636605.557798, 0
1553636605.611817, 1
1553636605.663198, 2
1553636605.718439, 3
1553636605.776381, 0
1553636605.850371, 1
1553636605.957146, 2
1553636606.055314, 3
1553636606.127196, 0
1553636606.208465, 1
1553636606.301687, 2
1553636606.384223, 3
1553636606.470655, 0
1553636606.522297, 1
1553636606.574683, 2
1553636606.632639, 3
1553636606.687068, 0
1553636606.736381, 1
1553636606.786400, 2
1553636606.842049, 3
1553636606.887829, 0
1553636606.970299, 1
1553636607.044452, 2
1553636607.122739, 3
1553636607.196272, 0
1553636607.274869, 1
1553636607.366258, 2
1553636607.449984, 3
1553636607.512153, 0
1553636607.565549, 1
1553636607.619791, 2
1553636607.681847, 3
1553636607.742530, 0
1553636607.787910, 1
1553636607.835586, 2
1553636607.884961, 3
1553636607.942871, 0
1553636607.983534, 1
1553636608.025412, 2
1553636608.075764, 3
1553636608.113591, 0
1553636608.186120, 1
1553636608.264251, 2
1553636608.331158, 3
1553636608.397372, 0
1553636608.465496, 1
1553636608.537434, 2
1553636608.615774, 3
1553636608.688223, 0
1553636608.756573, 1
1553636608.840523, 2
1553636608.926249, 3
1553636609.006947, 0
1553636609.080248, 1
1553636609.166293, 2
1553636609.241714, 3
1553636609.317541, 0
1553636609.373051, 1
1553636609.425627, 2
1553636609.488935, 3
1553636609.547699, 0
1553636609.601600, 1
1553636609.650547, 2
1553636609.705797, 3
1553636609.754889, 0
1553636609.820730, 1
1553636610.082508, 2
1553636610.175950, 3
1553636610.254644, 0
1553636610.322078, 1
1553636610.400745, 2
1553636610.483332, 3
1553636610.545819, 0
1553636610.597567, 1
1553636610.651130, 2
1553636610.706935, 3
1553636610.759238, 0
1553636610.809278, 1
1553636610.856284, 2
1553636610.907238, 3
1553636610.965151, 0
1553636611.006038, 1
1553636611.051307, 2
1553636611.102292, 3
1553636611.146052, 0
1553636611.214344, 1
1553636611.280721, 2
1553636611.343870, 3
1553636611.400112, 0
1553636611.478177, 1
1553636611.548438, 2
1553636611.633406, 3
1553636611.718082, 0
1553636611.787375, 1
1553636611.876810, 2
1553636611.966598, 3
1553636612.054278, 0
1553636612.123921, 1
1553636612.207202, 2
1553636612.284022, 3
1553636612.356777, 0
1553636612.405734, 1
1553636612.469489, 2
1553636612.526392, 3
1553636612.576591, 0
1553636612.622490, 1
1553636612.672784, 2
1553636612.729738, 3
