time, palm_pos, vel, avg_vel, avg_vel_schm, avg_acc, avg_acc_schm
1542730325.973414, 154.259628, -112.811111, -1.596980, -20.000000, -433.897653, -433.897653
1542730325.979219, 154.259628, -112.811111, -5.992318, -20.000000, -439.533865, -439.533865
1542730325.984554, 152.407883, -107.935699, -10.400770, -20.000000, -440.845196, -440.845196
1542730325.989900, 152.407883, -107.935699, -14.839637, -20.000000, -443.886655, -443.886655
1542730325.995689, 152.407883, -107.935699, -19.313170, -20.000000, -447.353276, -447.353276
1542730326.001496, 152.407883, -107.935699, -23.810906, -23.810906, -449.773595, -449.773595
1542730326.007026, 152.407883, -107.935699, -28.321820, -28.321820, -451.091425, -451.091425
1542730326.012902, 150.800354, -97.341675, -32.792537, -32.792537, -447.071667, -447.071667
1542730326.018941, 150.800354, -97.341675, -37.250085, -37.250085, -445.754859, -445.754859
1542730326.026811, 150.800354, -97.341675, -41.678820, -41.678820, -442.873473, -442.873473
1542730326.032351, 150.161011, -62.698139, -45.916630, -45.916630, -423.781018, -423.781018
1542730326.037622, 150.161011, -62.698139, -50.083383, -50.083383, -416.675258, -416.675258
1542730326.042981, 150.085434, -38.915192, -54.085377, -54.085377, -400.199439, -400.199439
1542730326.048825, 150.085434, -38.915192, -57.912025, -57.912025, -382.664783, -382.664783
1542730326.054210, 150.085434, -38.915192, -61.572441, -61.572441, -366.041587, -366.041587
1542730326.059971, 150.175568, -18.076824, -64.975901, -64.975901, -340.346044, -340.346044
1542730326.065467, 150.175568, -18.076824, -68.109316, -68.109316, -313.341513, -313.341513
1542730326.070803, 150.175568, -18.076824, -70.973273, -70.973273, -286.395698, -286.395698
1542730326.076186, 151.272812, 19.356150, -73.432697, -73.432697, -245.942339, -245.942339
1542730326.081453, 151.272812, 19.356150, -75.558712, -75.558712, -212.601511, -212.601511
1542730326.087012, 151.272812, 19.356150, -77.289815, -77.289815, -173.110330, -173.110330
1542730326.092176, 151.272812, 19.356150, -78.626257, -78.626257, -133.644169, -150.000000
1542730326.097479, 153.398788, 66.042198, -79.391517, -79.391517, -76.526042, -150.000000
1542730326.102870, 153.398788, 66.042198, -79.713495, -79.713495, -32.197744, -150.000000
1542730326.108289, 153.398788, 66.042198, -79.568779, -79.568779, 14.471582, 150.000000
1542730326.113504, 156.702209, 121.436584, -78.787780, -78.787780, 78.099925, 150.000000
1542730326.119052, 156.702209, 121.436584, -77.489532, -77.489532, 129.824703, 150.000000
1542730326.124478, 156.702209, 121.436584, -75.673506, -75.673506, 181.602627, 181.602627
1542730326.129625, 160.444107, 162.126923, -73.217813, -73.217813, 245.569361, 245.569361
1542730326.134884, 160.444107, 162.126923, -70.199429, -70.199429, 301.838365, 301.838365
1542730326.140214, 160.444107, 162.126923, -66.639397, -66.639397, 356.003209, 356.003209
1542730326.145922, 160.444107, 162.126923, -62.539713, -62.539713, 409.968413, 409.968413
1542730326.151727, 163.429993, 163.502853, -57.839578, -57.839578, 470.013452, 470.013452
1542730326.157439, 163.429993, 163.502853, -52.619790, -52.619790, 521.978836, 521.978836
1542730326.162952, 163.429993, 163.502853, -46.900591, -46.900591, 571.919899, 571.919899
1542730326.168733, 165.328217, 135.493668, -40.689954, -40.689954, 621.063686, 621.063686
1542730326.173962, 165.328217, 135.493668, -34.035661, -34.035661, 665.429259, 665.429259
1542730326.179267, 165.328217, 135.493668, -26.979347, -26.979347, 705.631421, 705.631421
1542730326.184658, 166.639435, 105.896332, -19.651322, -20.000000, 732.802476, 732.802476
