time, phase
1552946242.690130, 0
1552946242.793253, 1
1552946242.893146, 2
1552946243.022009, 3
1552946243.131040, 0
1552946243.184507, 1
1552946243.267636, 2
1552946243.374265, 3
1552946243.490893, 0
1552946243.584955, 1
1552946243.697012, 2
1552946243.806139, 3
1552946243.918703, 0
1552946243.992709, 1
1552946244.134561, 2
1552946244.229829, 3
1552946244.310080, 0
1552946244.472227, 1
1552946244.536848, 2
1552946244.636481, 3
1552946244.724203, 0
1552946244.820221, 1
1552946244.966840, 2
1552946245.074817, 3
1552946245.165794, 0
1552946245.253390, 1
1552946245.389600, 2
1552946245.525405, 3
1552946245.632562, 0
1552946245.738626, 1
1552946245.838441, 2
1552946245.944166, 3
1552946246.027373, 0
1552946246.137129, 1
1552946246.242361, 2
1552946246.366849, 3
1552946246.464523, 0
1552946246.563014, 1
1552946246.683566, 2
1552946246.809613, 3
1552946246.895447, 0
1552946247.000074, 1
1552946247.136017, 2
1552946247.277298, 3
1552946247.359752, 0
1552946247.431684, 1
1552946247.567463, 2
1552946247.710594, 3
1552946247.842180, 0
1552946247.980757, 1
1552946248.238080, 2
1552946248.439210, 3
1552946248.642387, 0
1552946248.825740, 1
1552946249.205424, 2
1552946249.633694, 3
1552946249.819799, 0
1552946249.999217, 1
1552946250.802690, 2
1552946250.973054, 3
1552946252.552609, 0
1552946252.702888, 1
1552946253.661373, 2
1552946253.927486, 3
1552946254.292130, 0
1552946254.522048, 1
1552946255.056434, 2
1552946255.399864, 3
1552946255.511031, 0
1552946255.687275, 1
1552946255.864943, 2
1552946256.235382, 3
1552946256.391965, 0
1552946256.531038, 1
1552946256.711247, 2
1552946256.959060, 3
1552946257.079014, 0
1552946257.213109, 1
1552946257.384215, 2
1552946257.607194, 3
1552946257.810991, 0
1552946257.949131, 1
1552946258.156424, 2
1552946258.324903, 3
1552946258.642684, 0
1552946258.812502, 1
1552946259.057501, 2
1552946259.251081, 3
1552946259.629524, 0
1552946259.809365, 1
