time, a_x, a_y, a_z, g_x, g_y, g_z, deltat 
1574112030, 91, 386, 1978, -45, 300, 197, 0.013462
1574112030, 55, 395, 1833, 180, -117, 253, 0.013482
1574112030, 86, 382, 1747, 209, -153, 392, 0.013478
1574112030, 55, 403, 1699, 142, -30, 482, 0.013452
1574112030, 39, 358, 1803, 68, -73, 459, 0.013422
1574112030, 90, 303, 1866, 1, -213, 334, 0.013494
1574112030, 56, 334, 1788, 115, -251, 238, 0.013645
1574112030, -37, 356, 1662, 148, -136, 243, 0.013433
1574112030, -86, 341, 1821, 94, -107, 239, 0.013418
1574112030, -82, 318, 1769, 82, -73, 204, 0.013458
1574112030, -119, 320, 1790, 28, -183, 141, 0.013464
1574112030, -168, 301, 1774, -9, -167, 126, 0.013471
1574112030, -179, 247, 1783, -67, -195, 163, 0.013461
1574112030, -170, 282, 1753, 44, -68, 178, 0.013714
1574112030, -169, 301, 1788, 57, -118, 136, 0.013449
1574112030, -170, 301, 1755, -102, -147, 105, 0.013425
1574112030, -126, 249, 1847, -80, -186, 81, 0.013437
1574112030, -91, 277, 1791, 54, -255, 33, 0.013443
1574112030, -84, 309, 1748, -37, -247, -7, 0.013439
1574112030, -109, 263, 1763, -183, -139, 11, 0.013418
1574112030, -110, 219, 1780, -116, -57, 20, 0.013479
1574112030, -109, 195, 1819, -85, -50, -9, 0.013644
1574112030, -90, 208, 1761, -93, -34, -30, 0.013430
1574112030, -118, 160, 1890, -135, -100, -101, 0.013419
1574112030, -196, 145, 1809, -92, -80, -111, 0.013467
1574112030, -219, 146, 1792, 45, -23, -40, 0.013412
1574112030, -189, 172, 1724, 95, -17, -24, 0.013421
1574112030, -148, 191, 1734, 46, -34, -53, 0.013464
1574112030, -152, 194, 1699, -21, 14, -58, 0.013640
1574112030, -180, 176, 1752, -13, 32, -33, 0.013439
1574112030, -181, 177, 1774, -21, -21, -30, 0.013419
1574112030, -161, 197, 1736, -5, -42, -30, 0.013437
1574112030, -150, 221, 1687, -27, 6, -15, 0.013439
1574112030, -151, 202, 1725, -62, 8, -2, 0.013437
1574112030, -134, 174, 1797, -105, -32, -10, 0.013415
1574112030, -103, 167, 1775, -71, -81, -22, 0.013470
1574112030, -84, 179, 1729, -31, -45, -30, 0.013650
1574112030, -112, 199, 1743, -51, -14, -46, 0.013484
1574112030, -91, 182, 1796, -83, 8, -46, 0.013460
1574112031, -99, 175, 1823, -91, -17, -48, 0.013465
1574112031, -122, 181, 1764, -52, -12, -48, 0.013436
1574112031, -87, 162, 1871, -58, -67, -78, 0.013416
1574112031, -63, 171, 1747, -74, -122, -127, 0.013439
1574112031, -86, 178, 1817, -25, -76, -124, 0.013477
1574112031, -110, 190, 1771, -32, -67, -112, 0.013668
1574112031, -138, 170, 1830, -56, 8, -74, 0.013419
1574112031, -140, 126, 1854, -70, 4, -37, 0.013427
1574112031, -119, 139, 1871, -25, -60, -41, 0.013434
1574112031, -87, 176, 1861, 15, -130, -70, 0.013439
1574112031, -26, 150, 1841, 11, -155, -103, 0.013415
1574112031, -28, 186, 1768, 2, -95, -134, 0.013467
1574112031, -71, 178, 1824, -50, -67, -144, 0.013656
1574112031, -102, 171, 1819, -67, -40, -144, 0.013437
1574112031, -100, 171, 1854, -59, -17, -125, 0.013434
1574112031, -98, 133, 1904, -92, -43, -115, 0.013436
1574112031, -122, 171, 1812, -92, -23, -98, 0.013443
1574112031, -126, 138, 1837, -155, 0, -70, 0.013420
1574112031, -141, 144, 1818, -137, 24, -35, 0.013425
1574112031, -126, 151, 1849, -105, -73, -28, 0.013446
1574112031, -101, 159, 1820, -132, -110, -6, 0.013660
1574112031, -49, 122, 1870, -175, -99, -15, 0.013458
1574112031, -23, 124, 1921, -128, -74, -45, 0.013469
1574112031, -33, 119, 1922, -71, -37, -53, 0.013443
1574112031, -39, 178, 1846, -3, -47, -52, 0.013445
1574112031, -43, 246, 1828, -28, -83, -80, 0.013412
1574112031, -67, 283, 1797, -55, -58, -81, 0.013464
1574112031, -75, 331, 1726, -53, -44, -49, 0.013674
1574112031, -41, 353, 1791, -85, -49, -38, 0.013422
1574112031, -18, 403, 1800, -61, -113, -74, 0.013434
1574112031, -4, 491, 1844, -6, -208, -112, 0.013436
1574112031, -12, 648, 1777, 1, -263, -146, 0.013443
1574112031, 0, 787, 1700, -2, -247, -117, 0.013465
1574112031, 72, 904, 1695, 2, -170, -92, 0.013469
1574112031, 52, 1037, 1894, -19, -208, -131, 0.013461
1574112031, 29, 1246, 1717, 20, -147, -132, 0.013662
1574112031, -67, 1354, 1832, 97, -102, -166, 0.013470
1574112031, -109, 1477, 1773, 96, -135, -237, 0.013476
1574112031, -160, 1484, 1885, 69, -179, -267, 0.013443
1574112031, -161, 1479, 1839, 23, -260, -306, 0.013440
1574112031, -170, 1509, 1753, 90, -218, -288, 0.013439
1574112031, -147, 1475, 1850, 64, 1, -260, 0.013432
1574112031, -77, 1395, 1799, 51, 176, -285, 0.013478
1574112031, -48, 1318, 1831, 142, 344, -380, 0.013644
1574112031, -116, 1213, 1849, 164, 380, -449, 0.013434
1574112031, -327, 1108, 1776, 122, 518, -345, 0.013433
1574112031, -413, 965, 1755, 227, 451, -266, 0.013436
1574112031, -316, 766, 1732, 334, 238, -267, 0.013438
1574112031, -213, 636, 1589, 330, 103, -291, 0.013452
1574112031, -200, 405, 1782, 186, 60, -346, 0.013479
1574112031, -202, 349, 1491, 270, 161, -351, 0.013671
1574112031, -303, 84, 1697, 298, 165, -314, 0.013507
1574112031, -209, 15, 1348, 303, 244, -216, 0.013440
1574112031, -103, -194, 1597, 211, 473, -221, 0.013461
1574112031, -62, -304, 1536, 64, 391, -261, 0.013419
1574112031, -59, -433, 1536, -161, 372, -259, 0.013439
1574112031, 42, -543, 1406, -427, 451, -232, 0.013466
1574112031, 123, -752, 1628, -596, 650, -210, 0.013521
1574112031, 133, -942, 1803, -705, 670, -264, 0.013653
1574112031, 31, -1031, 1900, -769, 661, -298, 0.013473
1574112031, -100, -1115, 1995, -780, 603, -286, 0.013437
1574112031, -142, -1146, 2109, -712, 467, -254, 0.013432
1574112031, -237, -1173, 2076, -691, 410, -164, 0.013416
1574112031, -260, -1088, 2058, -514, 200, -73, 0.013445
1574112031, -174, -1007, 2119, -441, -31, -65, 0.013447
1574112031, -117, -886, 2082, -412, -78, -7, 0.013655
1574112031, -92, -883, 2154, -415, 124, 100, 0.013439
1574112031, -64, -854, 2247, -324, 196, 124, 0.013422
1574112031, -42, -837, 2316, -210, 162, 24, 0.013461
1574112031, -115, -768, 2158, -18, 113, -11, 0.013419
1574112031, -128, -664, 2120, 142, 7, -29, 0.013439
1574112031, -107, -563, 2010, 237, -80, -88, 0.013415
1574112031, -152, -517, 1847, 291, -166, -169, 0.013474
1574112031, -178, -390, 1587, 253, -123, -179, 0.013646
1574112032, -209, -335, 1598, 106, -3, -131, 0.013434
