time, a_x, a_y, a_z, g_x, g_y, g_z, deltat 
1574070987.222604, 0.075195, 0.010742, 0.882324, 0.854492, 0.915527, -3.845215, 0.013389
1574070987.236866, 0.071777, 0.005371, 0.886230, 0.976562, 0.976562, -4.028320, 0.013615
1574070987.249984, 0.074707, 0.004395, 0.885254, 0.976562, 0.915527, -4.028320, 0.013381
1574070987.263280, 0.074707, 0.006348, 0.880859, 0.915527, 1.098633, -4.150391, 0.013403
1574070987.276284, 0.073730, 0.008789, 0.894531, 0.793457, 0.732422, -3.906250, 0.013367
1574070987.315873, 0.068359, 0.001953, 0.890625, 0.854492, 0.976562, -4.028320, 0.013385
1574070987.323097, 0.064453, 0.011230, 0.884277, 0.793457, 0.793457, -3.967285, 0.013439
1574070987.324409, 0.074707, 0.007812, 0.887695, 0.854492, 0.854492, -4.150391, 0.013362
1574070987.329182, 0.068359, 0.004883, 0.892578, 0.915527, 0.915527, -4.211426, 0.013409
1574070987.343439, 0.073242, 0.005371, 0.890137, 0.793457, 0.732422, -3.845215, 0.013586
1574070987.357943, 0.076660, 0.007812, 0.888184, 0.915527, 0.732422, -3.906250, 0.013404
1574070987.370173, 0.071777, 0.007324, 0.882812, 0.793457, 0.854492, -3.967285, 0.013371
1574070987.384880, 0.074219, 0.003418, 0.887695, 0.854492, 0.793457, -3.967285, 0.013378
1574070987.397146, 0.072266, 0.004883, 0.885742, 1.159668, 0.793457, -4.028320, 0.013358
1574070987.410405, 0.068359, 0.009277, 0.881836, 1.037598, 0.915527, -3.906250, 0.013381
1574070987.424596, 0.069336, 0.000488, 0.878418, 1.037598, 0.915527, -3.967285, 0.013384
1574070987.436374, 0.070312, 0.008301, 0.887207, 0.732422, 1.037598, -3.784180, 0.013436
1574070987.450508, 0.076172, 0.011230, 0.893066, 0.793457, 0.915527, -3.845215, 0.013605
1574070987.464768, 0.070312, 0.010254, 0.885254, 0.854492, 0.732422, -3.967285, 0.013397
1574070987.477649, 0.066406, 0.009766, 0.890625, 0.915527, 0.976562, -3.906250, 0.013388
1574070987.490785, 0.071289, 0.008301, 0.895508, 0.793457, 0.854492, -3.906250, 0.013361
1574070987.504874, 0.073242, 0.004883, 0.885742, 1.037598, 1.037598, -3.906250, 0.013381
