Please enter your Participant ID,1. I found the system to be intuitive,2. The system was easy to use,3. How much did the used system reflect your desired tempo?,4. It took me a long time to understand how the system works,5. I was able to express my desired intentions,6. I felt music was synchronised with my hand movements,7. I found the system to be versatile,8. I was satisfied with the overall sound of the system,9. I would use this system in a performance,10. I would use this system to explore expressivity
1,3,3,4,2,3,2,3,1,1,5
2,5,5,2,1,2,1,2,2,1,3
3,4,3,4,2,4,4,3,4,4,4
4,3,5,3,2,3,2,2,3,3,4
5,4,5,4,1,4,3,4,4,4,4
6,2,5,4,3,2,3,3,3,3,5
7,3,4,4,2,4,3,3,3,4,5
8,5,5,2,5,2,2,5,5,5,5
9,4,4,4,2,4,4,4,4,4,5
10,4,4,2,2,3,2,3,2,4,5
11,4,5,5,3,5,5,5,5,5,5
12,4,4,4,2,4,4,5,4,3,5
13,4,2,4,1,4,4,4,5,5,5
14,3,4,1,4,2,2,3,3,2,2
15,4,4,4,2,4,5,4,5,3,5
16,4,3,2,3,4,4,5,5,4,5
17,4,4,3,2,3,3,3,4,2,3
18,4,4,3,1,2,2,1,4,2,4
19,4,4,4,4,3,3,5,4,3,5
20,4,4,3,2,3,4,4,4,4,5
21,3,3,4,1,3,2,1,4,3,3
22,5,5,4,1,4,4,2,5,5,5
23,4,5,5,1,4,5,5,5,4,4
24,2,3,2,2,3,3,2,2,3,1
25,3,2,3,4,3,3,4,4,3,3
26,4,5,5,1,5,3,4,5,4,3
27,2,1,1,1,1,1,1,2,1,1
